id,title,company_name,job_description_url,location,job_type,hiring_manager_name,hiring_manager_position,hiring_manager_linkedin,manager_auto_detect
50452,Regulatory Compliance Manager - Investigational New Drug Office,Memorial Sloan Kettering,http://careers.mskcc.org/job/8244014/regulatory-compliance-manager-investigational-new-drug-office-new-york-ny/?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,"New York, NY",Compliance,,,,
53100,Corporate Compliance - Equities Compliance Officer - Vice President,JP Morgan Chase,http://jobs.jpmorganchase.com/ShowJob/Id/125906/Corporate%20Compliance%20%20%20Equities%20Compliance%20Officer%20%20%20Vice%20President,"New York, NY",Compliance,,,,
54836,"Vice President, Policy & Project Manager, State & Local Government Relations",JP Morgan Chase,"http://jobs.jpmorganchase.com/ShowJob/Id/126495/Vice%20President,%20Policy%20%20%20Project%20Manager,%20State%20%20%20Local%20Government%20Relations","New York, NY",Compliance,,,,
57313,Research Regulatory Assistant,NYU School of Medicine Perlmutter CancerCtr (S580),http://jobs.nyulangone.org/job/8246918/,"New York, NY",Compliance,Grace Rose Langan,Senior Director Regulatory Affairs,https://www.linkedin.com/in/grace-rose-langan-0491aa12/,Reporting to the Senior Manager of Regulatory Affa
52801,Sr Compliance Officer â Enterprise Compliance Program,Charles Schwab,http://schwabjobs.com/ShowJob/Id/1598312/Sr%20Compliance%20Officer%20%e2%80%93%20Enterprise%20Compliance%20Program,"New York, NY",Compliance,,,,
46797,Aviation Training and Compliance Manager,Command Security Corporation,https://careers-commandsecurity.icims.com/jobs/3896/aviation-training-and-compliance-manager/job?in_iframe=1&mode=job&iis=Job+Board&iisn=Indeed,"New York, NY",Compliance,,,,
54274,"Extern, Compliance Consulting","DUFF AND PHELPS, LLC",https://careers.duffandphelps.jobs/job/-/-/400/7928776?source=Indeed,"New York, NY",Compliance,,,,
55060,Senior Complex Risk Officer,Morgan Stanley,https://ms.taleo.net:443/careersection/2/jobdetail.ftl?job=3110338&lang=en&src=JB-10147,"New York, NY",Compliance,Ben Firestein,Complex Manager,https://www.linkedin.com/in/ben-firestein-1928711b/,reporting to the Complex manager and Regional Risk
57352,Futures Compliance Officer,Morgan Stanley,https://ms.taleo.net:443/careersection/2/jobdetail.ftl?job=3110796&lang=en&src=JB-10147,"New York, NY",Compliance,,,,
52251,"GFCC, Insider Abuse Investigator",PayPal,https://paypal.wd1.myworkdayjobs.com/en-US/jobs/job/New-York/GFCC--Insider-Abuse-Investigator_R0026058-1?source=JobBoardIndeed-Organic,"New York, NY",Compliance,,,,reports to share investigative findings and recomm
58423,Senior Director Level â Corporate Compliance,Pfizer,https://pfizer.wd1.myworkdayjobs.com/en-US/PfizerCareers/job/United-States---New-York---New-York-City/Senior-Director-Level---Corporate-Compliance_4700582-1?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,"New York, NY",Compliance,,,,
56863,Quality and Regulatory Compliance Associate,Clinilabs,https://www.clinilabs.com/job-position/quality-and-regulatory-compliance-associate/,"New York, NY",Compliance,,,,
55863,VP-Security Risk Assessment & Architecture,Moody's Shared Services,https://www.moodys.jobs/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25546&siteid=5212&PageType=JobDetails&jobid=1145453&codes=INTN-Z8,"New York, NY",Compliance,,,,
50651,Systems Accountant,ActivateUTS,https://activateuts.com.au/__data/assets/pdf_file/0031/357349/0418_Systems_Accountant.pdf,Sydney,Finance,,,,"Reporting to the CFO, This position is responsible"
57978,Accounts Receivable Specialist - Sydney,Qualtrics,https://boards.greenhouse.io/qualtrics/jobs/881672?gh_src=h53nmk1,Sydney,Finance,,,,
49471,Customer Due Diligence- Production Support Analyst,HSBC,https://hsbc.taleo.net/careersection/external/jobdetail.ftl?job=579763&lang=en_GB,Sydney,Finance,,,,Reporting to the Global Banking &amp; Markets (GBM
51353,Regional Finance Manager,Lendlease,https://lendlease.wd3.myworkdayjobs.com/en-US/LendleaseCareers/job/Sydney-CBD/Regional-Finance-Manager_REQ-7018449-1?source=Indeed,Sydney,Finance,,,,
52252,Senior Commercial Analyst,Mamamia,https://mamamia.prevueapspro.com/jobs/7892-2637.html,Sydney,Finance,,,,"Reporting to the Head of Finance and Operations, y"
52286,Director Financial Control BTFG,BT Financial Group,https://westpac.taleo.net/careersection/westpacgroup/jobdetail.ftl?job=SYD47627&tz=GMT-05:00&src=JB-12080,Sydney,Finance,Yvonne Le Bas,CFO,https://www.linkedin.com/in/yvonne-le-bas-95a8a83b/,reporting to BT CFO and BT SMT. This role oversees
49303,Assistant Vice President - Analyst (Structured Finance Group),Moody's,https://www.efinancialcareers.com.au/jobs-Australia-Sydney-Assistant_Vice_President_-_Analyst_Structured_Finance_Group.id03281972?utm_campaign=JS_CAREERJET_AU&utm_source=APAC_AU_ENG&utm_medium=PD_AG_CAREERJET,Sydney,Finance,,,,
54566,Finance Manager,Verita Healthcare Group Limited,https://www.efinancialcareers.com.au/jobs-Australia-Sydney-Finance_Manager.id03292989?utm_campaign=JS_INDEED_AU&utm_source=APAC_AU_ENG&utm_medium=PD_AG_INDEED&utm_campaign=JS_INDEED_AU&utm_source=APAC_AU_ENG&utm_medium=AG_INDEED,Sydney,Finance,,,,
47702,Enterprise Account Manager,PayPal,https://paypal.wd1.myworkdayjobs.com/en-US/jobs/job/Sydney/Enterprise-Account-Manager_R0031256?source=JobBoardIndeed-Organic,Sydney,Sales,,,,
53638,Marketing Manager F&R,Thomson Reuters,http://jobs.thomsonreuters.com/ShowJob/Id/115438/Marketing%20Manager%20F%20R,"New York, NY",Sales,Nuala Johnson,Global Director of Risk and Compliance Marketing,https://www.linkedin.com/in/nuala-johnson-7566083/,reporting to the Director of Compliance &amp; Risk
48522,Field Activation Manager,Vital Proteins,http://vitalproteins.applytojob.com/apply/job_20180424200542_VNGYVOJG5LXTBF7S/Field-Activation-Manager?source=CJET,"New York, NY",Sales,Tracey Warner Halama,Senior Vice President of Sales,https://www.linkedin.com/in/traceyhalama/,"Reporting to the SVP of Sales, and working closely"
56187,Sales Manager,Real Hospitality Group,https://rhgcorp.snaphire.com/jobdetails?jobmc=35807IND,"New York, NY",Sales,Camille Lindo,Director of Sales and Marketing,https://www.linkedin.com/in/camille-lindo-23325050/,
46693,Principal - Marketing Manager,ITL USA,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1210070&1BR&Codes=Indeed,"New York, NY",Sales,,,,
52368,Medicare Sales Manager,EmblemHealth,https://sjobs.brassring.com/TGWebHost/jobdetails.aspx?jobId=393684&partnerid=26004&siteid=5437,"New York, NY",Sales,,,,
51382,Social Media Manager,IVY,https://web.ivy.com/careers/?gh_jid=807937&gh_src=hxn3i41,"New York, NY",Sales,,,,
50566,National Sales Manager- Salty Snacks,Wise Snacks,https://wisesnacks.applicantpro.com/jobs/782948-123078.html,"New York, NY",Sales,,,,
55327,"Coordinator, Sales",Warner Music Group,https://wmg.wd1.myworkdayjobs.com/en-US/WMGUS/job/USA---New-York---1633-Broadway/Coordinator--Sales_R-005922?source=Indeed,"New York, NY",Sales,,,,
55259,Digital Marketing Manager,Via,https://workable.com/j/349DFCFE9B,"New York, NY",Sales,,,,
53882,"Agency Marketing Manager, North America Business Marketing",facebook,https://www.facebook.com/careers/jobs/a0I1H00000MoMBgUAN/?ref=a8lA00000004CJ6IAM,"New York, NY",Sales,,,,
55423,Director of Marketing,Flywheel Sports,https://www.flywheelsports.com/careers?gh_jid=1134329&gh_src=phtqdmnm1,"New York, NY",Sales,,,,
56405,"Global Director, Product Marketing (Monetization)",Spotify,https://www.spotifyjobs.com/job/global-director-product-marketing-monetization-oxjo7fw5/,"New York, NY",Sales,,,,"reports to the Global VP, Partner Solutions and is"
55337,Business Development Director BFS,Tephra Inc,https://www.uncommon.co/apply/78815b5a-0fd7-474d-9fd1-d6728b8d55cd/?utm_campaign=Tephra%20Inc&utm_medium=jb&ts=jb-JT-Tephra%20Inc-Business%20Development%20Director%20BFS&utm_source=JT&utm_content=Business%20Development%20Director%20BFS&jtsrc=JobTarget%20Programmatic&jtsrcid=25393&jtrfr=&Board=Indeed&_jtochash=GwpoeVtXNEK6H8BKfkg5k&_jtocprof=qikSy1Y9xtfepFUZ9EzC_sTNUqZELSts,"New York, NY",Sales,,,,
55330,Mid-Market Sales Development Representative,yotpo,https://www.yotpo.com/jobs/219340/?gh_jid=219340&gh_src=qr3yn7,"New York, NY",Sales,,,,reports to the Director of Sales and Business Deve
57764,Derm Flex Pharmaceutical Sales Representative,Syneos Health Commerical Solutions,http://commercialcareers.syneoshealth.com/jobs/2733345?bid=326,"San Francisco, CA",Sales,,,,
50395,Sr. Product Marketing Manager,GoodData Corporation,http://jobs.jobvite.com/careers/gooddata/job/oG7q7fw4?__jvst=Job+Board&__jvsd=Indeed,"San Francisco, CA",Sales,Emily Rugaber,Sr. Director Product Marketing,https://www.linkedin.com/in/emilyrugaber/,"Reporting to the Sr. Director, Product Marketing a"
58404,"Inside Sales Executive (Redwood City, CA)",Imperva,http://jobs.jobvite.com/careers/imperva/job/oG5k7fwW?__jvst=Job+Board&__jvsd=Indeed,"San Francisco, CA",Sales,,,,
52446,Product Marketing Manager,Insightly,http://jobs.jobvite.com/careers/insightly/job/oVxp7fwI?__jvst=Job+Board&__jvsd=Indeed,"San Francisco, CA",Sales,Tony Kavanagh,CMO,https://www.linkedin.com/in/kavanaghtony/,
47763,District Sales Manager - Full Service on Premise - RCCB,Reyes Coca-Cola Bottling,http://jobs.reyesccb.com/jobsearch/job-details/district-sales-manager-full-service-on-premise-rccb/10008/1/?utm_campaign=Indeed&source=Indeed&sourceType=PREMIUM_POST_SITE,"San Francisco, CA",Sales,,,,
57545,Marketing Coordinator,OpenTable,http://www.opentable.com/careers/marketing/?p=job/oo3q7fwI&__jvst=Job+Board&__jvsd=Indeed&nl=1,"San Francisco, CA",Sales,,,,
52338,Sales - Territory Manager - Residential,Sierra Pacific Industries,http://www.spi-ind.com/Careers/Details/31943,"San Francisco, CA",Sales,,,,
48495,"Senior Campaign Marketing Operations Manager, Enterprise",Adobe,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/Senior-Campaign-Marketing-Operations-Manager--Enterprise_62101,"San Francisco, CA",Sales,,,,"Reporting to the Director of Marketing Operations,"
52331,"Pharmaceutical Sales Specialist Oncology Hematology (San Francisco, CA)",AstraZeneca,https://astrazeneca.wd3.myworkdayjobs.com/Careers/job/US---San-Francisco---CA/Pharmaceutical-Sales-Specialist-Oncology-Hematology--San-Francisco--CA-_R-026833-1,"San Francisco, CA",Sales,,,,
47927,"Senior Manager, Audience Acquisition and Engagement",POPSUGAR,https://boards.greenhouse.io/popsugar/jobs/1134459?gh_src=lfkh2cbq1,"San Francisco, CA",Sales,,,,
56238,"Account Executive, Enterprise Sales",Yext,https://boards.greenhouse.io/yext/jobs/1139798?gh_src=tyxgkknv1,"San Francisco, CA",Sales,,,,
58171,Marketing Operations Manager,Kenna Security,https://hire.withgoogle.com/public/jobs/kennasecuritycom/view/P_AAAAAADAAADPxfo2sl3__P,"San Francisco, CA",Sales,,,,"reports to the Director of Demand Generation.

Key"
46687,Director of Product Marketing,Iterable,https://iterable.com/company/job/?gh_jid=700138&gh_src=u3yj151,"San Francisco, CA",Sales,,,,"Reporting to the CMO, you will be responsible for "
57034,"Senior Director, Marketing - Credit Cards",Credit Karma,https://jobs.lever.co/creditkarma/152ecac1-1648-4a76-b562-74387dbede17?lever-source=indeed,"San Francisco, CA",Sales,,,,
47845,"Sr. Manager, Marketing Operations",Reflektive,https://jobs.lever.co/reflektive.com/2643543a-b9c7-44a9-ad05-fa6b3e9ccc68?lever-source=Indeed,"San Francisco, CA",Sales,,,,
55682,Assistant Product Development & Marketing Manager,Sephora,https://jobs.sephora.com/job/San-Francisco-Assistant-Product-Development-&-Marketing-Manager-US%2B-CA-94105/472794300/?jobPipeline=Indeed,"San Francisco, CA",Sales,,,,
48509,Senior Content Marketing Manager,MuleSoft,https://www.mulesoft.com/careers/apply/senior-content-marketing-manager?gh_jid=1130140,"San Francisco, CA",Sales,,,,
49177,Graduate Sales Consultant,Hubspot,https://boards.greenhouse.io/embed/job_app?for=hubspotjobs&token=126994,Sydney,Sales,,,,
54218,Chinese Marketing Coordinator,IDP Education Ltd,https://careers.jobscore.com/careers/idpeducationpty/jobs/chinese-marketing-coordinator-dG5V-Ass4r6loCdG1ZS6tF?jpid=dIF28oss4r6loCdG1ZS6tF&name=Indeed&sid=69,Sydney,Sales,,,,
50442,PR Coordinator,Opera Australia,https://d30bjm1vsa9rrn.cloudfront.net/res/pdfs/jobs/pr-coordinator-april-2018.PDF,Sydney,Sales,,,,
54638,Account Manager - Inside Sales,Equifax,https://equifax.gr8people.com/index.gp?method=cappportal.showJob&layoutid=2092&inp1541=&inp1375=16321&opportunityid=16321,Sydney,Sales,,,,
51531,"Senior Sales Manager- Global Banking, GLCM",HSBC,https://hsbc.taleo.net/careersection/external/jobdetail.ftl?lang=en_GB&job=574068&src=JB-10502,Sydney,Sales,,,,"Reporting to the Country Head of Sales, for GLCM i"
52258,Senior Digital Marketing Coordinator (Social Media),Sydney Opera House Trust,https://jobsnsw.taleo.net/careersection/all_jobs/jobdetail.ftl?job=1168931&src=JB-17163,Sydney,Sales,,,,
52623,Technical Sales Representative,Danfoss,https://krb-xjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=30033&siteid=5635&PageType=JobDetails&jobid=1215632,Sydney,Sales,,,,
53354,Account Manager,McGraw-Hill Education,https://mhe.taleo.net/careersection/ex/jobdetail.ftl?job=29187&src=JB-10061,Sydney,Sales,,,,
49856,Marketing Manager,Omnicom Group,https://omnicommediagroup.springboard.com.au/jobtools/jncustomsearch.viewFullSingle?in_organid=18860&in_jncounter=223212455&in_site=Indeed,Sydney,Sales,,,,
47650,Strategic Sales Manager,PayPal,https://paypal.wd1.myworkdayjobs.com/en-US/jobs/job/Sydney/Field-Sales-Rep-4_R0032039?source=JobBoardIndeed-Organic,Sydney,Sales,,,,
52666,Inside Sales Representative,iland Internet Solutions Corporation,https://workable.com/j/D64742B8B2,Sydney,Sales,Tony Stratton,Director of Sales APAC,https://www.linkedin.com/in/tony-stratton-58b16424/,"reports to the Director of Sales, APAC &amp; ANZ.
"
49375,"Director, Business Development",Bigcommerce,https://www.bigcommerce.com.au/careers/director-business-development/,Sydney,Sales,,,,
52146,"Director, Infrastructure & Cloud Migration",KPMG,https://www.respondhr.com/62152802,"New York, NY",Tech,,,,
54040,DevOps Engineer,Fluid Intelligence,http://fisoft.fluid.global/a/browse/job/bc01599c-eb50-4962-bfa7-6c1ec05c6ebe,"New York, NY",Tech,,,,
55482,"Software Engineer, Python",iHeartRadio,http://jobs.iheart.com/?gh_jid=1139641&gh_src=16r1oj6f1,"New York, NY",Tech,Laurent Vauthrin,Director of Engineering,https://www.linkedin.com/in/laurent-vauthrin-72922927/,
50702,Front End Dev Manager,Priceline.com,http://jobs.jobvite.com/careers/priceline/job/otVi7fwx?__jvst=Job+Board&__jvsd=Indeed,"New York, NY",Tech,Ravi Peddinti,VP Engineering,https://www.linkedin.com/in/ravi-peddinti-18ba08/,
52941,DevOps Engineer â Alternative Investment,JP Morgan Chase,http://jobs.jpmorganchase.com/ShowJob/Id/104741/DevOps%20Engineer%20%e2%80%93%20Alternative%20Investment,"New York, NY",Tech,,,,
58589,iOS Developer,Adobe,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/New-York/iOS-Developer_62497,"New York, NY",Tech,,,,
48791,Fullstack Javascript Engineer,Fairygodboss,https://applicant.mightyrecruiter.com/jobs/apply/fullstack-javascript-engineer-at-fairygodboss-in-new-york-ny-5fa1d8b2611eb45f05536a9f43e96a2e?utm_source=careerjet&utm_medium=organic&utm_campaign=&utm_content=37164-fullstack%20javascript%20engineer-128896-na&utm_term=free-board&fp=f,"New York, NY",Tech,Michael Harroun,Chief Technology Officer,https://www.linkedin.com/in/michael-harroun-66bb6439/,
49333,Senior C++ Engineer - Fixed Income Pricing and Risk,Bloomberg L.P.,https://bloomberg.jobs/new-york-ny/senior-c-engineer-fixed-income-pricing-and-risk/985E414CF5D24F12BE425628F3E35E08/job/?utm_campaign=.JOBS%20XML%20Feed&vs=23&utm_medium=.JOBS%20Universe&utm_source=.JOBS%20XML%20Feed-DE,"New York, NY",Tech,,,,
55404,Senior Backend Engineer,Clarifai,https://boards.greenhouse.io/clarifai/jobs/1139555?gh_jid=1139555&gh_src=jx3f5gvc1,"New York, NY",Tech,,,,
56300,Senior Software Engineer,Intersection,https://boards.greenhouse.io/intersection/jobs/1124416?gh_src=42sdra8c1,"New York, NY",Tech,,,,
57627,DevOps Engineer,Jackpocket,https://boards.greenhouse.io/jackpocket/jobs/4006412002?gh_src=pqre2d2,"New York, NY",Tech,,,,
56970,Technical Lead - Python,Noble,https://boards.greenhouse.io/noble/jobs/1140012?gh_jid=1140012&gh_src=t34tu1vp1,"New York, NY",Tech,,,,reporting to the director of technology. Work as a
49327,Linux Unix Engineer ,IPsoft,https://careers-ipsoft.icims.com/jobs/2057/linux-unix-engineer-%28tuesdays-saturdays--2pm-11pm%29/job?in_iframe=1,"New York, NY",Tech,,,,
55698,Principal Software Engineer,Dow Jones,https://dowjones.jobs/new-york-ny/principal-software-engineer/AE882368D9234D16BF53DBB32209F588/job/?utm_campaign=Indeed&vs=1554&utm_medium=Job%20Aggregator&utm_source=Indeed-DE,"New York, NY",Tech,Mona Soni,Senior Director Software Engineering,https://www.linkedin.com/in/monasoni/,
48275,Senior Android Engineer,American Express,https://jobs.americanexpress.com/jobs/18004360/3-Senior-Android-Engineer?lang=en-us&src=JB-10780&utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,"New York, NY",Tech,,,,
48149,Principal Android Engineer,Butterfly Network,https://jobs.smartrecruiters.com/4Catalyzer/743999669322829-principal-android-engineer,"New York, NY",Tech,,,,
47960,Software developer with .NET ,TransPerfect,https://jobs.smartrecruiters.com/Translations/743999669310472-software-developer-with-net-nyc,"New York, NY",Tech,Raja Mani,Vice President of Engineering,https://www.linkedin.com/in/raja-mani-392b9b/,
54031,Sr Engineer Delivery/Site Reliability,The New York Times,https://nytimes.wd5.myworkdayjobs.com/en-US/NYT/job/New-York-NY/Sr-Engineer-Delivery-Site-Reliability_REQ-002992-1,"New York, NY",Tech,,,,
46750,IBD Technology - Financing Group - Java Developer,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/44286/ibd-technology---financing-group---java-developer/job?hub=7&&bid=9993572,"New York, NY",Tech,,,,
58363,DevOps Security Engineer,Fivesky,https://workable.com/j/322E39F683,"New York, NY",Tech,,,,
53892,"Manager, Software Engineering - Customer Insights",Facebook,https://www.facebook.com/careers/jobs/a0I1H00000MoKYIUA3/?ref=a8lA00000004CJ6IAM,"New York, NY",Tech,,,,
50349,"Sr Engineering Manager, Platform",Appdynamics,http://jobs.jobvite.com/careers/appdynamics/job/oo1q7fwG?__jvst=Job+Board&__jvsd=Indeed,"San Francisco, CA",Tech,,,,
58640,"Lead UI Engineer (San Mateo, CA)",Apttus,http://jobs.jobvite.com/careers/apttus/job/ooUm7fwv?__jvst=Job+Board+-+Other&__jvsd=Indeed,"San Francisco, CA",Tech,,,,
49711,Web Automation & API Tester,Infostretch Corporation,http://jobs.jobvite.com/careers/info-stretch-corporation/job/oSDp7fwL?__jvst=Job+Board&__jvsd=Indeed,"San Francisco, CA",Tech,,,,
50584,Staff Software Engineer- Full Stack,Minted,http://jobs.jobvite.com/careers/minted/job/oc0q7fwt?__jvst=Job+Board&__jvsd=Indeed,"San Francisco, CA",Tech,,,,
50934,Senior Software Engineer (Device Monitoring),Mocana,http://jobs.jobvite.com/careers/mocana/job/oGRw4fwR?__jvst=Job+Board&__jvsd=Indeed,"San Francisco, CA",Tech,,,,
58265,Sr. Software Engineer,Splunk,http://jobs.jobvite.com/careers/splunk/job/oUBp7fwL?__jvst=Job+Board&__jvsd=Indeed,"San Francisco, CA",Tech,,,,
50580,Senior Software Engineer - Backend,Zeta Global,http://jobs.jobvite.com/careers/zetaglobal/job/ovWq7fwI?__jvst=Job+Board&__jvsd=Indeed,"San Francisco, CA",Tech,,,,
49416,"Software Engineer, Open Source Ruby/Java/Go - Portland / San Francisco",New Relic,http://jobs.jobvite.com/newrelic/job/oTEb7fwz,"San Francisco, CA",Tech,,,,
49376,Director of Engineering,Nutanix,http://jobs.jobvite.com/nutanix/job/oump7fw6,"San Francisco, CA",Tech,,,,
50602,Software Engineer- Growth,OpenTable,http://www.opentable.com/careers/technology/?p=job/oJDk7fwx&__jvst=Job+Board&__jvsd=Indeed&nl=1,"San Francisco, CA",Tech,Jim Castillo,Director Engineering,https://www.linkedin.com/in/jcastillo/,
57148,Systems Reliability Engineer,Cloudflare,https://boards.greenhouse.io/cloudflare/jobs/614677?gh_jid=614677&gh_src=f5vsn11,"San Francisco, CA",Tech,,,,
47893,Senior Software Engineer - Simulation Infrastructure,Cruise Automation,https://boards.greenhouse.io/cruise/jobs/1096082?gh_src=ryibow2c1,"San Francisco, CA",Tech,,,,
47928,Web Designer & Developer,"Ellation, Inc.",https://boards.greenhouse.io/crunchyroll/jobs/1138849?gh_jid=1138849&gh_src=t1mw3t2s1,"San Francisco, CA",Tech,,,,
51242,Software Engineer,Flexport,https://boards.greenhouse.io/flexport/jobs/535049?gh_src=e4p6371,"San Francisco, CA",Tech,,,,
55401,"Principal Software Engineer, Fullstack",Granular,https://boards.greenhouse.io/granular/jobs/1138199?gh_src=bmqs5smv1,"San Francisco, CA",Tech,Rashmi Vasudevan,Director of Engineering,https://www.linkedin.com/in/rashmivasudevan/,
50099,"Software Engineer, Mapping (San Francisco)",Lyft,https://boards.greenhouse.io/lyft/jobs/4024813002?gh_jid=4024813002&gh_src=v2qi5gb12,"San Francisco, CA",Tech,,,,
57024,Software Engineer - DevOps,Mode,https://boards.greenhouse.io/modeanalytics/jobs/189304?gh_src=psie8w,"San Francisco, CA",Tech,,,,
46973,"Software Engineer, Infrastructure",Quid,https://boards.greenhouse.io/quid/jobs/1138678?gh_src=7fbauce51,"San Francisco, CA",Tech,,,,
58294,"Software Engineer - Machine Learning (San Mateo, CA)",SurveyMonkey,https://boards.greenhouse.io/surveymonkey/jobs/1139800?gh_src=3c00bv6d1,"San Francisco, CA",Tech,Shravan Sogani,Senior Director of Engineering,https://www.linkedin.com/in/shravansogani/,
51279,Senior iOS Engineer,Zenefits,https://boards.greenhouse.io/zenefits/jobs/680089?gh_src=a5dj2p1,"San Francisco, CA",Tech,,,,
48689,UX Architect,News Corp Australia,http://newslimitedext.turborecruit.com.au/job/job_details.cfm?id=415812,Sydney,Tech,,,,
48744,Systems Development Engineer - AWS Networking,Amazon,https://amazon.jobs/en/jobs/625905/systems-development-engineer-aws-networking,Sydney,Tech,,,,
51500,IT Operations Manager,Noggin,https://boards.greenhouse.io/nogginit/jobs/1138938?gh_src=p5htoeiw1,Sydney,Tech,,,,
48145,"Software Engineer in Test, Communications Group",Dolby,https://career4.successfactors.com/career?career_ns=job_listing&company=Dolby&navBarLevel=JOB_SEARCH&rcm_site_locale=en_US&career_job_req_id=31341&selected_lang=en_US&jobAlertController_jobAlertId=&jobAlertController_jobAlertName=&_s.crb=BSy9pWqhEeRKKrVEdC+HXzR+QvM=&jobPipeline=Indeed,Sydney,Tech,Alex Blekhman,Manager Software Engineer,https://www.linkedin.com/in/ablekhman/,
51475,Java Developer (Mid/Senior),Outware Mobile,https://careers.outware.com.au/job/1138911?gh_jid=1138911&gh_src=380ppa441,Sydney,Tech,,,,
53460,Senior PHP Developer,Excite Holidays,https://exciteholidays.bamboohr.com/jobs/view.php?id=64&source=indeed&src=indeed&postedDate=2018-04-26,Sydney,Tech,,,,
51652,SAP Cloud Service Center Enterprise Architect,SAP,https://jobs.sap.com/job/Sydney-SAP-Cloud-Service-Center-Enterprise-Architect-Job-NSW/442368801/?feedId=118200&utm_source=Indeed&utm_campaign=SAP_Indeed,Sydney,Tech,,,,
48655,Senior User Experience Designer (UX / data journalism),Hyper Anna,https://jobs.smartrecruiters.com/HyperAnna/743999669348471-senior-user-experience-designer-ux-data-journalism-,Sydney,Tech,,,,
48695,Ogilvy - Senior Digital Designer (12 month FTC),Ogilvy,https://jobs.smartrecruiters.com/WPPAUNZ/743999669218543-ogilvy-senior-digital-designer-12-month-ftc-,Sydney,Tech,,,,
51518,Solution Architect,ITL Australia,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25633&siteid=5439&PageType=JobDetails&jobid=1210697&1BR&Codes=Indeed,Sydney,Tech,,,,
48179,OSS BSS Solution Architect,Zone IT Solutions,https://zoneit.workable.com/jobs/711619,Sydney,Tech,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,